"age","annual_salary","professional_experience_years","highest_edu_level","gender","industry","job_title"
"55-64",92000,"11 - 20 years","College degree","Woman","Entertainment","Executive Assistant"
"45-54",61000,"21 - 30 years","Master's degree","Woman","Education (Primary/Secondary)","Head of School"
"25-34",149074,"11 - 20 years","Master's degree","Woman","Engineering or Manufacturing","Principal Systems Engineer"
"35-44",28000,"21 - 30 years","High School","Man","Hospitality & Events","Event Monitor"
"35-44",33150,"21 - 30 years","College degree","Woman","Retail","Social Media Manager"
"35-44",64000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Director of Student Success"
"35-44",50000,"11 - 20 years","College degree","Woman","Media & Digital","Online news editor"
"25-34",104000,"5-7 years","Master's degree","Woman","Accounting, Banking & Finance","Compliance manager"
"35-44",33680,"11 - 20 years","College degree","Woman","Education (Primary/Secondary)","Secretary to assistant principal"
"25-34",77000,"5-7 years","Master's degree","Woman","Nonprofits","Grant Administrator"
"65 or over",108000,"31 - 40 years","College degree","Woman","Insurance","Compliance specialist"
"25-34",53000,"5-7 years","Professional degree (MD, JD, etc.)","Woman","Health care","resident physician"
"25-34",90000,"2 - 4 years","Master's degree","Woman","Computing or Tech","Professional Services Engineer"
"35-44",47000,"11 - 20 years","College degree","Woman","Food manufacturing","Accounting"
"45-54",45300,"11 - 20 years","College degree","Woman","Government and Public Administration","Training Coordinator"
"45-54",108000,"21 - 30 years","Master's degree","Woman","Health care","Physician Assistant"
"35-44",152000,"11 - 20 years","Master's degree","Woman","Computing or Tech","Vice President of People and Culture"
"25-34",49000,"8 - 10 years","Master's degree","Woman","Media & Digital","Senior Digital Editor"
"35-44",68000,"11 - 20 years","Master's degree","Woman","Library","Library Supervisor"
"55-64",370000,"31 - 40 years","PhD","Woman","Education (Higher Education)","Provost"
"25-34",112000,"8 - 10 years","College degree","Woman","Media & Digital","Journalist"
"35-44",113000,"11 - 20 years","College degree","Man","Utilities & Telecommunications","Accounting Manager"
"25-34",62000,"11 - 20 years","College degree","Woman","Retail","Store Manager"
"35-44",119200,"11 - 20 years","Master's degree","Man","Government and Public Administration","Health Systems Specialist"
"55-64",113105,"31 - 40 years","College degree","Man","Accounting, Banking & Finance","Client Computing Engineer"
"25-34",110000,"5-7 years","College degree","Woman","Computing or Tech","Software Engineer"
"25-34",80000,"5-7 years","Master's degree","Woman","Business or Consulting","Business Development Manager"
"35-44",1e+05,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Marketing manager"
"45-54",132000,"21 - 30 years","Master's degree","Woman","Government and Public Administration","Director"
"under 18",118000,"31 - 40 years","Master's degree","Woman","Nonprofits","Finance Director"
"25-34",120000,"8 - 10 years","College degree","Man","Health care","Product Manager"
"45-54",175000,"21 - 30 years","Master's degree","Man","Computing or Tech","Sr. Scrum Master"
"25-34",42000,"8 - 10 years","College degree","Woman","Nonprofits","Administrative Specialist"
"45-54",143100,"21 - 30 years","College degree","Woman","Insurance","AVP, Finance"
"45-54",135000,"21 - 30 years","Master's degree","Woman","Pharmaceutical","Senior Medical Writer"
"35-44",102000,"11 - 20 years","Master's degree","Woman","Government and Public Administration","Library director"
"35-44",1e+05,"8 - 10 years","Master's degree","Man","Computing or Tech","Associate"
"35-44",114000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Director"
"25-34",186000,"5-7 years","PhD","Woman","Engineering or Manufacturing","mechanical engineer"
"35-44",89000,"21 - 30 years","College degree","Woman","Publishing","Marketing director"
"25-34",45760,"5-7 years","College degree","Woman","Education (Higher Education)","Postal Supervisor"
"25-34",69000,"5-7 years","PhD","Woman","Education (Higher Education)","Assistant Professor"
"45-54",57,"21 - 30 years","Master's degree","Woman","Nonprofits","Program director"
"45-54",93000,"21 - 30 years","Master's degree","Woman","Property or Construction","Project Manager"
"35-44",106000,"11 - 20 years","College degree","Woman","Consumer Goods","Senior Executive Assistant"
"45-54",55000,"5-7 years","College degree","Woman","Retail","Assistant Buyer"
"25-34",41600,"5-7 years","Master's degree","Woman","Accounting, Banking & Finance","Office Manager"
"25-34",110000,"5-7 years","Professional degree (MD, JD, etc.)","Woman","Law","Partner"
"25-34",36000,"8 - 10 years","College degree","Man","Media & Digital","Multi-Media Specialist"
"35-44",94010,"21 - 30 years","Master's degree","Woman","Property or Construction","Senior Marketing Coordinator"
"25-34",63590,"8 - 10 years","College degree","Woman","Insurance","Instructional designer"
"25-34",65000,"1 year or less","Professional degree (MD, JD, etc.)","Woman","Health care","Audiologist"
"45-54",121000,"11 - 20 years","Master's degree","Woman","Government and Public Administration","Librarian"
"25-34",76000,"8 - 10 years","College degree","Man","Accounting, Banking & Finance","Support Manager"
"25-34",70000,"5-7 years","College degree","Man","Computing or Tech","Software Implementation Analyst"
"25-34",99750,"5-7 years","Professional degree (MD, JD, etc.)","Woman","Insurance","Staff Attorney"
"35-44",1e+05,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Law","Counsel (in house)"
"35-44",75000,"11 - 20 years","College degree","Woman","Recruitment or HR","Human Resources manager"
"18-24",35000,"2 - 4 years","College degree","Man","Government and Public Administration","Customer service representative"
"45-54",70000,"21 - 30 years","Master's degree","Woman","Accounting, Banking & Finance","Staff Accountant"
"25-34",90000,"5-7 years","Master's degree","Woman","Computing or Tech","Engineer in Test"
"55-64",105500,"31 - 40 years","Master's degree","Woman","Business or Consulting","Program director"
"25-34",80000,"5-7 years","College degree","Woman","Media & Digital","Developer"
"35-44",88500,"11 - 20 years","Master's degree","Woman","Education (Primary/Secondary)","Middle school teacher"
"45-54",125000,"21 - 30 years","Master's degree","Woman","Nonprofits","Director"
"35-44",107000,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Project Manager"
"25-34",44000,"2 - 4 years","Master's degree","Woman","Media & Digital","Associate Editor"
"45-54",42000,"11 - 20 years","College degree","Woman","Engineering or Manufacturing","Customer Service Associate"
"25-34",56500,"11 - 20 years","College degree","Woman","Education (Primary/Secondary)","Executive administrative assistant to the Superintendent"
"25-34",88434,"8 - 10 years","PhD","Woman","Education (Higher Education)","Research and Development Manager"
"45-54",113000,"21 - 30 years","Master's degree","Woman","Computing or Tech","Software Engineer"
"25-34",61000,"11 - 20 years","Master's degree","Woman","Education (Primary/Secondary)","Teacher/Part-time Administrator"
"35-44",95000,"11 - 20 years","College degree","Woman","Renewable energy","Senior Marketing Manager"
"35-44",41000,"21 - 30 years","College degree","Woman","Health care","Vet tech"
"35-44",115000,"11 - 20 years","Master's degree","Woman","Accounting, Banking & Finance","Sr Manager"
"35-44",120000,"11 - 20 years","College degree","Man","Nonprofits","Chief Marketing and Development Officer"
"25-34",165000,"8 - 10 years","College degree","Woman","Computing or Tech","Lead Software Engineer"
"35-44",130000,"11 - 20 years","Master's degree","Woman","Nonprofits","senior director, program monitoring and evaluation"
"25-34",10000,"8 - 10 years","Master's degree","Woman","Computing or Tech","Sr Consultant"
"25-34",130000,"8 - 10 years","Master's degree","Man","Computing or Tech","Computer Engineer"
"25-34",60000,"1 year or less","College degree","Woman","Health care","RN"
"35-44",61000,"11 - 20 years","College degree","Woman","Nonprofits","High School Business Manager"
"25-34",85000,"1 year or less","PhD","Woman","Research","Scientist"
"55-64",47507,"21 - 30 years","College degree","Woman","Health care","Exec admin"
"35-44",63000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Assistant Librarian/Professor"
"45-54",179301,"21 - 30 years","PhD","Woman","Research","Group Leader"
"35-44",80000,"21 - 30 years","College degree","Woman","Health care","IT Security Analyst"
"35-44",50000,"11 - 20 years","Master's degree","Woman","Nonprofits","Manager, Public Programs"
"35-44",58000,"2 - 4 years","College degree","Woman","Government and Public Administration","Residential Appraiser II"
"25-34",40000,"8 - 10 years","College degree","Woman","STEM medical research","Researcher 3"
"35-44",108000,"11 - 20 years","Master's degree","Woman","Non profit theater","Director of Development"
"25-34",50000,"5-7 years","Master's degree","Woman","Art & Design","Assistant Professor"
"25-34",52500,"5-7 years","Master's degree","Woman","Education (Primary/Secondary)","Head Toddler Teacher"
"35-44",101000,"21 - 30 years","Master's degree","Woman","Insurance","Analyst"
"45-54",62000,"21 - 30 years","College degree","Man","Nonprofits","Registration Analyst"
"35-44",225000,"21 - 30 years","Master's degree","Man","Computing or Tech","Principal Product Manager"
"45-54",78000,"5-7 years","Master's degree","Woman","Nonprofits","Co-Director"
"35-44",125000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Law","Senior Project Manager"
"35-44",45150,"11 - 20 years","College degree","Woman","Social Work","Family Team Meeting Facilitator"
"35-44",70000,"21 - 30 years","Master's degree","Woman","Business or Consulting","Customer Success Specialist"
"25-34",112000,"8 - 10 years","College degree","Woman","Computing or Tech","Product Manager"
"25-34",62400,"8 - 10 years","College degree","Woman","Computing or Tech","HR Generalist"
"55-64",47507,"21 - 30 years","College degree","Woman","Health care","Exec admin"
"35-44",26000,"8 - 10 years","Master's degree","Woman","Education (Higher Education)","Teaching Assistant"
"35-44",58000,"11 - 20 years","College degree","Woman","Health care","User Provisioning Analyst"
"25-34",80000,"11 - 20 years","College degree","Woman","Recruitment or HR","Recruiter"
"45-54",60000,"21 - 30 years","Master's degree","Woman","Accounting, Banking & Finance","Communications Specialist"
"25-34",31500,"8 - 10 years","Master's degree","Woman","Biomedical Research","STEM PhD student"
"35-44",44000,"11 - 20 years","College degree","Woman","Computing or Tech","Quality and training manager"
"25-34",41800,"2 - 4 years","College degree","Woman","Insurance","Enrollment Coordinator"
"45-54",275000,"11 - 20 years","Professional degree (MD, JD, etc.)","Man","Business or Consulting","principal analyst"
"35-44",103000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Law","Senior Associate"
"35-44",315000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Law","General Counsel & Chief Compliance Officer"
"35-44",96000,"11 - 20 years","Master's degree","Woman","Computing or Tech","Senior Consultant"
"35-44",185000,"11 - 20 years","College degree","Man","Computing or Tech","Software Engineering Manager"
"45-54",220000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Health care","Pediatrician"
"35-44",80000,"21 - 30 years","College degree","Woman","Media & Digital","Senior Editor"
"35-44",180000,"11 - 20 years","Master's degree","Woman","Engineering or Manufacturing","Electrical engineer"
"25-34",112000,"5-7 years","College degree","Man","Business or Consulting","Analytics Manager"
"55-64",68652,"11 - 20 years","Master's degree","Woman","Government and Public Administration","Senior Analyst"
"35-44",43642,"21 - 30 years","College degree","Woman","Computing or Tech","Staff Accountant"
"35-44",96000,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Commercial Loan Underwriter"
"25-34",31000,"11 - 20 years","College degree","Woman","Nonprofits","Executive Assistant/Visitor Center Coordinator"
"25-34",132000,"5-7 years","College degree","Woman","Computing or Tech","Senior Software Engineer"
"35-44",73000,"11 - 20 years","Master's degree","Woman","Health care","Speech therapist"
"25-34",65000,"2 - 4 years","Master's degree","Man","Biotech","Scientific support specialist"
"45-54",127000,"21 - 30 years","College degree","Woman","Animal health industry","Sr. Key Account Manager"
"25-34",1e+05,"5-7 years","College degree","Woman","Utilities & Telecommunications","Technical support engineer"
"35-44",48500,"11 - 20 years","College degree","Woman","Law","Marketing Manager"
"55-64",45000,"31 - 40 years","College degree","Man","Art & Design","Graphic Designer/Art Director"
"25-34",70000,"8 - 10 years","Master's degree","Woman","Marketing, Advertising & PR","Research Manager"
"25-34",43680,"8 - 10 years","College degree","Woman","Marketing, Advertising & PR","Content Writer"
